0,"Catharsis #0 - Solitude"
1,"Catharsis #1 - Opus One"
2,"Catharsis #2 - The Lamp Is Low"
3,"Catharsis #3 - Three to Get Ready"
4,"Catharsis #4 - Four"
5,"Catharsis #5 - Take Five"
6,"Catharsis #6 - Close Your Eyes"
7,"Catharsis #7 - Seven Come Eleven"
8,"Catharsis #8 - Whisper Not"
9,"Catharsis #9 - Maiden Voyage"
10,"Catharsis #10 - Red Sails in the Sunset"
11,"Catharsis #11 - No Moon At All"
12,"Catharsis #12 - 12th Street Rag"
13,"Catharsis #13 - Off Minor"
14,"Catharsis #14 - Without a Song"
15,"Catharsis #15 - It Don't Mean a Thing"
16,"Catharsis #16 - Why Was I Born?"
17,"Catharsis #17 - Sometimes I feel Like a Motherless Child"
18,"Catharsis #18 - Young and Foolish"
19,"Catharsis #19 - Lonesome Road"
20,"Catharsis #20 - Come Sunday"
21,"Catharsis #21 - I'll Walk Alone"
22,"Catharsis #22 - Nobody Else but Me"
23,"Catharsis #23 - No More"
24,"Catharsis #24 - I'll Close My Eyes"
25,"Catharsis #25 - Nobody Knows the Trouble I've Seen"
26,"Catharsis #26 - Baby, It's Cold Outside"
27,"Catharsis #27 - It All Depends on You"
28,"Catharsis #28 - The Song Is Ended"
29,"Catharsis #29 - I Can't Get Started (with You)"
30,"Catharsis #30 - Nobody Knows You When You're Down and Out"
31,"Catharsis #31 - There's No You"
32,"Catharsis #32 - East Thirty-Second"
33,"Catharsis #33 - Somebody Stole My Gal"
34,"Catharsis #34 - I Mean You"
35,"Catharsis #35 - Nagasaki"
36,"Catharsis #36 - Killer Joe"
37,"Catharsis #37 - You Turned the Tables on Me"
38,"Catharsis #38 - I May Be Wrong"
39,"Catharsis #39 - I Ain't Got Nobody (and Nobody Cares for Me)"
40,"Catharsis #40 - The One I Love (Belongs to Somebody Else)"
41,"Catharsis #41 - The End of a Love Affair"
42,"Catharsis #42 - What Am I Here For?"
43,"Catharsis #43 - The Thrill Is Gone"
44,"Catharsis #44 - Walk on By"
45,"Catharsis #45 - Triste"
46,"Catharsis #46 - What Is There to Say?"
47,"Catharsis #47 - How Long Has This Been Going On?"
48,"Catharsis #48 - Say It Isn't So"
49,"Catharsis #49 - Where Are You?"
50,"Catharsis #50 - How Am I to Know?"
51,"Catharsis #51 - I Wish I Knew"
52,"Catharsis #52 - 52nd Street Theme"
53,"Catharsis #53 - Too Late Now"
54,"Catharsis #54 - You Made Me Love You"
55,"Catharsis #55 - You're Blasé"
56,"Catharsis #56 - Perfidia"
57,"Catharsis #57 - You Took Advantage of Me"
58,"Catharsis #58 - Don't Take Your Love from Me"
59,"Catharsis #59 - Love for Sale"
60,"Catharsis #60 - Cottage for Sale"
61,"Catharsis #61 - Please Don't Talk About Me When I'm Gone"
62,"Catharsis #62 - I Never Knew"
63,"Catharsis #63 - Don't Explain"
64,"Catharsis #64 - Well You Needn't"
65,"Catharsis #65 - I'm Thru with Love"
66,"Catharsis #66 - All By Myself"
67,"Catharsis #67 - I Won't Dance"
68,"Catharsis #68 - Nobody's Sweetheart Now"
69,"Catharsis #69 - I Get Along Without You Very Well"
70,"Catharsis #70 - Red Cross"
71,"Catharsis #71 - Prisoner of Love"
72,"Catharsis #72 - Too Young to Go Steady"
73,"Catharsis #73 - Who?"
74,"Catharsis #74 - Topsy"
75,"Catharsis #75 - Ruby, My Dear"
76,"Catharsis #76 - Emily"
77,"Catharsis #77 - Nancy"
78,"Catharsis #78 - Maria"
79,"Catharsis #79 - Louise"
80,"Catharsis #80 - Sweet Sue, Just You"
81,"Catharsis #81 - Donna Lee"
82,"Catharsis #82 - Rosetta"
83,"Catharsis #83 - Naima"
84,"Catharsis #84 - Dinah"
85,"Catharsis #85 - Margie"
86,"Catharsis #86 - Alfie"
87,"Catharsis #87 - Django"
88,"Catharsis #88 - Jim"
89,"Catharsis #89 - Marie"
90,"Catharsis #90 - Laura"
91,"Catharsis #91 - Cheryl"
92,"Catharsis #92 - Johnny Come Lately"
93,"Catharsis #93 - Doxy"
94,"Catharsis #94 - Rosalie"
95,"Catharsis #95 - Woody'n You"
96,"Catharsis #96 - I Remember Clifford"
97,"Catharsis #97 - Sweet Lorraine"
98,"Catharsis #98 - Liza (All the Clouds'll Roll Away)"
99,"Catharsis #99 - There's a Lull in My Life"
100,"Catharsis #100 - Away in a Manger"
101,"Catharsis #101 - I'll Be Glad When You're Dead"
102,"Catharsis #102 - Dearly Beloved"
103,"Catharsis #103 - My Heart Stood Still"
104,"Catharsis #104 - My Man's Gone Now"
105,"Catharsis #105 - On the Alamo"
106,"Catharsis #106 - Trouble in Mind"
107,"Catharsis #107 - Get Out of Town"
108,"Catharsis #108 - Tain't Nobody's Business If I Do"
109,"Catharsis #109 - It Never Entered My Mind"
110,"Catharsis #110 - Exodus"
111,"Catharsis #111 - The Hour of Parting"
112,"Catharsis #112 - All Alone"
113,"Catharsis #113 - Gone with the Wind"
114,"Catharsis #114 - Until the Real Thing Comes Along"
115,"Catharsis #115 - You're Driving Me Crazy (What Did I Do?)"
116,"Catharsis #116 - Gee Baby Ain't I Good to You?"
117,"Catharsis #117 - Don't Be That Way"
118,"Catharsis #118 - You Better Go Now"
119,"Catharsis #119 - You Don't Know What Love Is"
120,"Catharsis #120 - Careless Love"
121,"Catharsis #121 - That Old Devil Called Love"
122,"Catharsis #122 - I Surrender Dear"
123,"Catharsis #123 - How Insensitive"
124,"Catharsis #124 - I've Got a Feeling I'm Falling"
125,"Catharsis #125 - Let It Snow! Let It Snow! Let It Snow!"
126,"Catharsis #126 - Lost in the Stars"
127,"Catharsis #127 - Just A-Sittin' and A-Rockin'"
128,"Catharsis #128 - Fidgety Feet"
129,"Catharsis #129 - I'll Never Smile Again"
130,"Catharsis #130 - They Didn't Believe Me"
131,"Catharsis #131 - (I Don't Stand A) Ghost of a Chance"
132,"Catharsis #132 - Desafinado"
133,"Catharsis #133 - Loveless Love"
134,"Catharsis #134 - Three Little Words"
135,"Catharsis #135 - Little White Lies"
136,"Catharsis #136 - I Ain't Got Nothin' but the Blues"
137,"Catharsis #137 - I Didn't Know About You"
138,"Catharsis #138 - Time on My Hands"
139,"Catharsis #139 - Until I Met You (Corner Pocket)"
140,"Catharsis #140 - I Didn't Know What Time It Was"
141,"Catharsis #141 - For All We Know"
142,"Catharsis #142 - If I Should Lose You"
143,"Catharsis #143 - By Myself"
144,"Catharsis #144 - I Should Care"
145,"Catharsis #145 - I Don't Know Why (I Just Do)"
146,"Catharsis #146 - Don't Get Around Much Anymore"
147,"Catharsis #147 - But Not for Me"
148,"Catharsis #148 - White Christmas"
149,"Catharsis #149 - Don't Go to Strangers"
150,"Catharsis #150 - Perdido"
151,"Catharsis #151 - Undecided"
152,"Catharsis #152 - Strange Fruit"
153,"Catharsis #153 - Lonely Woman"
154,"Catharsis #154 - My Foolish Heart"
155,"Catharsis #155 - Tain't What You Do"
156,"Catharsis #156 - Poor Butterfly"
157,"Catharsis #157 - This Can't Be Love"
158,"Catharsis #158 - Do Nothin' Till You Hear from Me"
159,"Catharsis #159 - What Kind of Fool Am I?"
160,"Catharsis #160 - Send in the Clowns"
161,"Catharsis #161 - The Party's Over"
162,"Catharsis #162 - Let's Call the Whole Thing Off"
163,"Catharsis #163 - You'll Never Know"
164,"Catharsis #164 - The Best Is Yet to Come"
165,"Catharsis #165 - Reflections"
166,"Catharsis #166 - Long Ago (and Far Away)"
167,"Catharsis #167 - Sometime Ago"
168,"Catharsis #168 - Yesterday"
169,"Catharsis #169 - This Autumn"
170,"Catharsis #170 - Shine on Harvest Moon"
171,"Catharsis #171 - When It's Sleepy Time Down South"
172,"Catharsis #172 - Lullaby of Broadway"
173,"Catharsis #173 - Lazy Afternoon"
174,"Catharsis #174 - God Rest Ye Merry Gentlemen"
175,"Catharsis #175 - On the Street Where You Live"
176,"Catharsis #176 - Remember"
177,"Catharsis #177 - Footprints"
178,"Catharsis #178 - Once I Loved"
179,"Catharsis #179 - The Things We Did Last Summer"
180,"Catharsis #180 - It's Easy to Remember"
181,"Catharsis #181 - Haunted Heart"
